Diffusion,Seeding,Clear,Score
0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.30000000000000004,0.0
0.0,0.0,0.4,0.0
0.0,0.0,0.5,0.0
0.0,0.0,0.6000000000000001,0.0
0.0,0.0,0.7000000000000001,0.0
0.0,0.0,0.8,0.0
0.0,0.0,0.9,0.0
0.0,0.0,1.0,0.0
0.0,0.01,0.0,0.30156299999999997
0.0,0.01,0.1,-0.0036016099999999994
0.0,0.01,0.2,-5.439430000000001e-05
0.0,0.01,0.30000000000000004,-4.52786e-05
0.0,0.01,0.4,0.0
0.0,0.01,0.5,-2.26393e-05
0.0,0.01,0.6000000000000001,-0.00120504
0.0,0.01,0.7000000000000001,0.0
0.0,0.01,0.8,0.0
0.0,0.01,0.9,-2.26393e-05
0.0,0.01,1.0,0.0
0.0,0.02,0.0,0.356748
0.0,0.02,0.1,-0.00596186
0.0,0.02,0.2,-0.00354721
0.0,0.02,0.30000000000000004,0.0
0.0,0.02,0.4,0.0
0.0,0.02,0.5,0.0
0.0,0.02,0.6000000000000001,-2.26393e-05
0.0,0.02,0.7000000000000001,0.0
0.0,0.02,0.8,-9.5115e-05
0.0,0.02,0.9,0.0
0.0,0.02,1.0,0.0
0.0,0.03,0.0,0.37837699999999996
0.0,0.03,0.1,-0.0017242399999999997
0.0,0.03,0.2,-0.00122768
0.0,0.03,0.30000000000000004,0.0
0.0,0.03,0.4,-0.00246448
0.0,0.03,0.5,-0.00241009
0.0,0.03,0.6000000000000001,-4.98364e-05
0.0,0.03,0.7000000000000001,0.0
0.0,0.03,0.8,-2.26393e-05
0.0,0.03,0.9,-2.26393e-05
0.0,0.03,1.0,-2.26393e-05
0.0,0.04,0.0,0.3862499999999999
0.0,0.04,0.1,-0.00254151
0.0,0.04,0.2,-0.00260487
0.0,0.04,0.30000000000000004,-0.00407993
0.0,0.04,0.4,-0.0012096
0.0,0.04,0.5,-0.0011824000000000001
0.0,0.04,0.6000000000000001,-7.70336e-05
0.0,0.04,0.7000000000000001,0.0
0.0,0.04,0.8,-0.00122768
0.0,0.04,0.9,-4.52786e-05
0.0,0.04,1.0,-0.0011824000000000001
0.0,0.05,0.0,0.3862499999999999
0.0,0.05,0.1,-0.00731753
0.0,0.05,0.2,-0.007391489999999999
0.0,0.05,0.30000000000000004,-0.00243728
0.0,0.05,0.4,-0.00121243
0.0,0.05,0.5,-0.0012096
0.0,0.05,0.6000000000000001,-0.0012368000000000001
0.0,0.05,0.7000000000000001,-0.00120504
0.0,0.05,0.8,-4.98364e-05
0.0,0.05,0.9,-9.5115e-05
0.0,0.05,1.0,-0.0011824000000000001
0.0,0.06,0.0,0.3862499999999999
0.0,0.06,0.1,-0.00382815
0.0,0.06,0.2,-0.00258679
0.0,0.06,0.30000000000000004,-0.00128035
0.0,0.06,0.4,-0.00834475
0.0,0.06,0.5,-0.00254151
0.0,0.06,0.6000000000000001,-0.0011824000000000001
0.0,0.06,0.7000000000000001,-0.0024192
0.0,0.06,0.8,-2.7197100000000004e-05
0.0,0.06,0.9,-4.98364e-05
0.0,0.06,1.0,-2.26393e-05
0.0,0.07,0.0,0.3862499999999999
0.0,0.07,0.1,-0.00665927
0.0,0.07,0.2,-0.00020390400000000003
0.0,0.07,0.30000000000000004,-0.00486387
0.0,0.07,0.4,-0.00413889
0.0,0.07,0.5,-0.00238745
0.0,0.07,0.6000000000000001,-2.7197100000000004e-05
0.0,0.07,0.7000000000000001,-0.00355004
0.0,0.07,0.8,0.0
0.0,0.07,0.9,-0.00120504
0.0,0.07,1.0,-2.26393e-05
0.0,0.08,0.0,0.3862499999999999
0.0,0.08,0.1,-0.00513184
0.0,0.08,0.2,-0.0070002599999999995
