Diffusion,Seeding,Clear,Score
0.0,0.0,0.0,-0.012307189999999999
0.0,0.0,0.1,-0.012307189999999999
0.0,0.0,0.2,-0.012307189999999999
0.0,0.0,0.30000000000000004,-0.012307189999999999
0.0,0.0,0.4,-0.012307189999999999
0.0,0.0,0.5,-0.012307189999999999
0.0,0.0,0.6000000000000001,-0.012307189999999999
0.0,0.0,0.7000000000000001,-0.012307189999999999
0.0,0.0,0.8,-0.012307189999999999
0.0,0.0,0.9,-0.012307189999999999
0.0,0.0,1.0,-0.012307189999999999
0.0,0.01,0.0,0.06703400000000001
0.0,0.01,0.1,0.055133399999999985
0.0,0.01,0.2,-0.012370169999999998
0.0,0.01,0.30000000000000004,-0.01240878
0.0,0.01,0.4,-0.012128630000000001
0.0,0.01,0.5,-0.012127510000000003
0.0,0.01,0.6000000000000001,-0.012307189999999999
0.0,0.01,0.7000000000000001,-0.012288260000000002
0.0,0.01,0.8,-0.012171770000000002
0.0,0.01,0.9,-0.012364400000000001
0.0,0.01,1.0,-0.012307189999999999
0.0,0.02,0.0,0.06703400000000001
0.0,0.02,0.1,0.056061500000000014
0.0,0.02,0.2,-0.013015369999999998
0.0,0.02,0.30000000000000004,-0.012195669999999999
0.0,0.02,0.4,-0.011884049999999998
0.0,0.02,0.5,-0.012140130000000002
0.0,0.02,0.6000000000000001,-0.011995759999999998
0.0,0.02,0.7000000000000001,-0.01243892
0.0,0.02,0.8,-0.01228922
0.0,0.02,0.9,-0.012307189999999999
0.0,0.02,1.0,-0.012391270000000001
0.0,0.03,0.0,0.06703400000000001
0.0,0.03,0.1,0.058902499999999997
0.0,0.03,0.2,-0.012612400000000003
0.0,0.03,0.30000000000000004,-0.012103330000000002
0.0,0.03,0.4,-0.012082289999999999
0.0,0.03,0.5,-0.01224428
0.0,0.03,0.6000000000000001,-0.01219449
0.0,0.03,0.7000000000000001,-0.011953039999999996
0.0,0.03,0.8,-0.012352190000000002
0.0,0.03,0.9,-0.012288980000000001
0.0,0.03,1.0,-0.012017539999999997
0.0,0.04,0.0,0.06703400000000001
0.0,0.04,0.1,0.05433919999999999
0.0,0.04,0.2,-0.012255569999999999
0.0,0.04,0.30000000000000004,-0.01149482
0.0,0.04,0.4,-0.012586829999999997
0.0,0.04,0.5,-0.010753399999999998
0.0,0.04,0.6000000000000001,-0.012319209999999997
0.0,0.04,0.7000000000000001,-0.011847630000000001
0.0,0.04,0.8,-0.012034880000000001
0.0,0.04,0.9,-0.01220664
0.0,0.04,1.0,-0.012333400000000001
0.0,0.05,0.0,0.06703400000000001
0.0,0.05,0.1,0.0592352
0.0,0.05,0.2,0.0479917
0.0,0.05,0.30000000000000004,-0.012133660000000001
0.0,0.05,0.4,-0.012208649999999998
0.0,0.05,0.5,-0.01255154
0.0,0.05,0.6000000000000001,-0.012486919999999999
0.0,0.05,0.7000000000000001,-0.012294490000000002
0.0,0.05,0.8,-0.012193540000000003
0.0,0.05,0.9,-0.011972739999999999
0.0,0.05,1.0,-0.012583730000000001
0.0,0.06,0.0,0.06703400000000001
0.0,0.06,0.1,0.0544061
0.0,0.06,0.2,0.0487867
0.0,0.06,0.30000000000000004,0.021905799999999982
0.0,0.06,0.4,-0.012208039999999996
0.0,0.06,0.5,-0.011539699999999996
0.0,0.06,0.6000000000000001,-0.012158100000000003
0.0,0.06,0.7000000000000001,-0.012022209999999998
0.0,0.06,0.8,-0.011424700000000001
0.0,0.06,0.9,-0.01246023
0.0,0.06,1.0,-0.01195089
0.0,0.07,0.0,0.06703400000000001
0.0,0.07,0.1,0.058459300000000006
0.0,0.07,0.2,0.04516780000000001
0.0,0.07,0.30000000000000004,-0.012502419999999998
0.0,0.07,0.4,-0.012358630000000002
0.0,0.07,0.5,-0.011898510000000001
0.0,0.07,0.6000000000000001,-0.012315350000000001
0.0,0.07,0.7000000000000001,-0.012006839999999998
0.0,0.07,0.8,-0.01199048
0.0,0.07,0.9,-0.012334500000000005
0.0,0.07,1.0,-0.011769209999999999
0.0,0.08,0.0,0.06703400000000001
0.0,0.08,0.1,0.058902499999999997
0.0,0.08,0.2,0.039560499999999985
0.0,0.08,0.30000000000000004,0.02416080000000001
0.0,0.08,0.4,-0.012309950000000002
0.0,0.08,0.5,-0.011766599999999999
0.0,0.08,0.6000000000000001,-0.012083239999999999
0.0,0.08,0.7000000000000001,-0.01306791
0.0,0.08,0.8,-0.011435289999999999
0.0,0.08,0.9,-0.012263139999999999
0.0,0.08,1.0,-0.011902800000000002
0.0,0.09,0.0,0.06703400000000001
0.0,0.09,0.1,0.05780220000000001
0.0,0.09,0.2,0.040636299999999986
0.0,0.09,0.30000000000000004,0.027263400000000007
0.0,0.09,0.4,-0.011942179999999998
0.0,0.09,0.5,-0.012158150000000001
0.0,0.09,0.6000000000000001,-0.01231462
0.0,0.09,0.7000000000000001,-0.012178150000000002
0.0,0.09,0.8,-0.01194955
0.0,0.09,0.9,-0.011631119999999998
0.0,0.09,1.0,-0.01244496
0.0,0.1,0.0,0.06703400000000001
0.0,0.1,0.1,0.0606067
0.0,0.1,0.2,0.04564860000000001
0.0,0.1,0.30000000000000004,0.019647900000000003
0.0,0.1,0.4,-0.012114939999999996
0.0,0.1,0.5,-0.01170827
0.0,0.1,0.6000000000000001,-0.011924259999999999
0.0,0.1,0.7000000000000001,-0.01157873
0.0,0.1,0.8,-0.01235381
0.0,0.1,0.9,-0.012019360000000002
0.0,0.1,1.0,-0.01230754
0.1,0.0,0.0,-0.012307189999999999
0.1,0.0,0.1,-0.012307189999999999
0.1,0.0,0.2,-0.012307189999999999
0.1,0.0,0.30000000000000004,-0.012307189999999999
0.1,0.0,0.4,-0.012307189999999999
0.1,0.0,0.5,-0.012307189999999999
0.1,0.0,0.6000000000000001,-0.012307189999999999
0.1,0.0,0.7000000000000001,-0.012307189999999999
0.1,0.0,0.8,-0.012307189999999999
0.1,0.0,0.9,-0.012307189999999999
0.1,0.0,1.0,-0.012307189999999999
0.1,0.01,0.0,0.06703400000000001
0.1,0.01,0.1,0.06550500000000001
0.1,0.01,0.2,0.063976
0.1,0.01,0.30000000000000004,0.08050269999999998
0.1,0.01,0.4,0.044827000000000006
0.1,0.01,0.5,-0.010289200000000002
0.1,0.01,0.6000000000000001,0.0032729000000000005
0.1,0.01,0.7000000000000001,-0.012187289999999998
0.1,0.01,0.8,-0.011513769999999998
0.1,0.01,0.9,-0.01058566
0.1,0.01,1.0,-0.01169454
0.1,0.02,0.0,0.06703400000000001
0.1,0.02,0.1,0.06550500000000001
0.1,0.02,0.2,0.08050269999999998
0.1,0.02,0.30000000000000004,0.08050269999999998
0.1,0.02,0.4,0.08050269999999998
0.1,0.02,0.5,0.015650999999999998
0.1,0.02,0.6000000000000001,-0.01573300000000001
0.1,0.02,0.7000000000000001,-2.798700000000001e-13
0.1,0.02,0.8,-0.0007264400000000009
0.1,0.02,0.9,-0.011443470000000002
0.1,0.02,1.0,-0.012578350000000002
