Time,mean_Growth_Rate,min_Growth_Rate,max_Growth_Rate,variance_Growth_Rate,mean_Synergy,min_Synergy,max_Synergy,variance_Synergy,mean_Heredity,min_Heredity,max_Heredity,variance_Heredity,mean_Invasion_Ability,min_Invasion_Ability,max_Invasion_Ability,variance_Invasion_Ability,mean_Biomass,min_Biomass,max_Biomass,variance_Biomass,fittest_count,fittest_heredity,fittestCommunity,dominant_count,dominant_heredity,dominantCommunity
0,-4.9085e-05,-4.9085e-05,-4.9085e-05,2.12462e-39,-1.72261,-1.72261,-1.72261,1.65208e-30,0.999981,0.999981,0.999981,3.47706e-31,1,1,1,0,2.60254,2.60254,2.60254,6.02937e-30,100,0,[ 0.0158238 0.0174092 0.000782866 1.47414 0.119544 0.16033 0.792431 0 0.0220819 ],100,0,[ 0.0158238 0.0174092 0.000782866 1.47414 0.119544 0.16033 0.792431 0 0.0220819 ]
10,6200.93,6200.93,6200.93,5.19992e-23,-12083.5,-12083.5,-12083.5,7.44594e-23,0.934117,0.934117,0.934117,1.64618e-30,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
20,6200.93,6200.93,6200.93,5.19992e-23,-12083.5,-12083.5,-12083.5,7.44594e-23,0.934117,0.934117,0.934117,1.64618e-30,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
30,6200.93,6200.93,6200.93,5.19992e-23,-12083.5,-12083.5,-12083.5,7.44594e-23,0.934117,0.934117,0.934117,1.64618e-30,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
40,6200.93,6200.93,6200.93,5.19992e-23,-12083.5,-12083.5,-12083.5,7.44594e-23,0.934117,0.934117,0.934117,1.64618e-30,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
50,6200.93,6200.93,6200.93,5.19992e-23,-12083.5,-12083.5,-12083.5,7.44594e-23,0.934117,0.934117,0.934117,1.64618e-30,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
60,6200.93,6200.93,6200.93,5.19992e-23,-12083.5,-12083.5,-12083.5,7.44594e-23,0.934117,0.934117,0.934117,1.64618e-30,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
70,6200.93,6200.93,6200.93,5.19992e-23,-12083.5,-12083.5,-12083.5,7.44594e-23,0.934117,0.934117,0.934117,1.64618e-30,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
80,6200.93,6200.93,6200.93,5.19992e-23,-12083.5,-12083.5,-12083.5,7.44594e-23,0.934117,0.934117,0.934117,1.64618e-30,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
90,6200.93,6200.93,6200.93,5.19992e-23,-12083.5,-12083.5,-12083.5,7.44594e-23,0.934117,0.934117,0.934117,1.64618e-30,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
100,6200.93,6200.93,6200.93,5.19992e-23,-12083.5,-12083.5,-12083.5,7.44594e-23,0.934117,0.934117,0.934117,1.64618e-30,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
110,6200.93,6200.93,6200.93,5.19992e-23,-12083.5,-12083.5,-12083.5,7.44594e-23,0.934117,0.934117,0.934117,1.64618e-30,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
120,6200.93,6200.93,6200.93,5.19992e-23,-12083.5,-12083.5,-12083.5,7.44594e-23,0.934117,0.934117,0.934117,1.64618e-30,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
