Time,mean_Growth_Rate,min_Growth_Rate,max_Growth_Rate,variance_Growth_Rate,mean_Synergy,min_Synergy,max_Synergy,variance_Synergy,mean_Heredity,min_Heredity,max_Heredity,variance_Heredity,mean_Invasion_Ability,min_Invasion_Ability,max_Invasion_Ability,variance_Invasion_Ability,mean_Biomass,min_Biomass,max_Biomass,variance_Biomass,fittest_count,fittest_heredity,fittestCommunity,dominant_count,dominant_heredity,dominantCommunity
0,901.801,-1.43943e-06,1528.48,565136,-9430.99,-15983.2,0.276901,6.17785e+07,0.964424,0.939742,0.999997,0.000876599,0.41236,0.004,1,0.239969,11802.6,0.377677,20000,9.66987e+07,59,0,[ 0 0 0 10000 0 0 0 0 10000 ],59,0,[ 0 0 0 10000 0 0 0 0 10000 ]
10,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
20,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
30,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
40,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
50,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
60,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
70,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
80,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
90,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
100,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
110,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
120,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
130,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
140,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
150,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
160,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
170,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
180,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
190,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
200,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
210,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
220,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
230,1528.48,1528.48,1528.48,1.93396e-25,-15983.2,-15983.2,-15983.2,3.81932e-22,0.939742,0.939742,0.939742,8.08044e-32,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 10000 0 0 0 0 10000 ],100,0,[ 0 0 0 10000 0 0 0 0 10000 ]
