Time,mean_Growth_Rate,min_Growth_Rate,max_Growth_Rate,variance_Growth_Rate,mean_Synergy,min_Synergy,max_Synergy,variance_Synergy,mean_Heredity,min_Heredity,max_Heredity,variance_Heredity,mean_Invasion_Ability,min_Invasion_Ability,max_Invasion_Ability,variance_Invasion_Ability,mean_Biomass,min_Biomass,max_Biomass,variance_Biomass,fittest_count,fittest_heredity,fittestCommunity,dominant_count,dominant_heredity,dominantCommunity
0,16234.8,16234.8,16234.8,1.11493e-22,-38724,-38724,-38724,4.72685e-22,0.98131,0.98131,0.98131,4.20092e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 0 0 0 0 10000 0 0 10000 ],100,0,[ 0 0 0 0 0 10000 0 0 10000 ]
10,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
20,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
30,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
40,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
50,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
60,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
70,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
80,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
90,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
100,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
110,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
120,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
130,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
140,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
150,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
160,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
170,33879.3,33879.3,33879.3,3.9755e-22,-75767.4,-75767.4,-75767.4,1.94e-21,0.977109,0.977109,0.977109,8.07947e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 0 10000 0 0 0 10000 0 0 10000 ],100,0,[ 0 10000 0 0 0 10000 0 0 10000 ]
