Time,mean_Growth_Rate,min_Growth_Rate,max_Growth_Rate,variance_Growth_Rate,mean_Synergy,min_Synergy,max_Synergy,variance_Synergy,mean_Heredity,min_Heredity,max_Heredity,variance_Heredity,mean_Invasion_Ability,min_Invasion_Ability,max_Invasion_Ability,variance_Invasion_Ability,mean_Biomass,min_Biomass,max_Biomass,variance_Biomass,fittest_count,fittest_heredity,fittestCommunity,dominant_count,dominant_heredity,dominantCommunity
0,500,0,10000,4.75e+06,-2999.93,-60000,2.7,1.71e+08,0.997564,0.951289,1,0.000112703,0.004,0.004,0.004,5.45608e-36,500.08,0,10000,4.74992e+06,3,0,[ 0 0 10000 0 0 0 0 0 0 ],88,1,[ 0 0 0 0 0 0 0 0 0 ]
10,5572.05,0,30000,5.13365e+07,-29569.1,-180000,54000,1.73029e+09,0.973954,0.91563,1,0.000781496,0.004,0.004,0.004,5.45608e-36,5618.88,0,30000,5.24416e+07,1,0,[ 10000 10000 10000 0 0 0 0 0 0 ],49,1,[ 0 0 0 0 0 0 0 0 0 ]
20,21600,10000,30000,2.944e+07,-129600,-180000,-60000,1.05984e+09,0.929011,0.91563,0.951289,8.56793e-05,0.004,0.004,0.004,5.45608e-36,21600,10000,30000,2.944e+07,24,0,[ 10000 10000 10000 0 0 0 0 0 0 ],49,0,[ 0 10000 10000 0 0 0 0 0 0 ]
30,30000,30000,30000,0,-180000,-180000,-180000,0,0.91563,0.91563,0.91563,1.21269e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 10000 10000 10000 0 0 0 0 0 0 ],100,0,[ 10000 10000 10000 0 0 0 0 0 0 ]
40,30000,30000,30000,0,-180000,-180000,-180000,0,0.91563,0.91563,0.91563,1.21269e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 10000 10000 10000 0 0 0 0 0 0 ],100,0,[ 10000 10000 10000 0 0 0 0 0 0 ]
50,30000,30000,30000,0,-180000,-180000,-180000,0,0.91563,0.91563,0.91563,1.21269e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 10000 10000 10000 0 0 0 0 0 0 ],100,0,[ 10000 10000 10000 0 0 0 0 0 0 ]
60,30000,30000,30000,0,-180000,-180000,-180000,0,0.91563,0.91563,0.91563,1.21269e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 10000 10000 10000 0 0 0 0 0 0 ],100,0,[ 10000 10000 10000 0 0 0 0 0 0 ]
70,30000,30000,30000,0,-180000,-180000,-180000,0,0.91563,0.91563,0.91563,1.21269e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 10000 10000 10000 0 0 0 0 0 0 ],100,0,[ 10000 10000 10000 0 0 0 0 0 0 ]
80,30000,30000,30000,0,-180000,-180000,-180000,0,0.91563,0.91563,0.91563,1.21269e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 10000 10000 10000 0 0 0 0 0 0 ],100,0,[ 10000 10000 10000 0 0 0 0 0 0 ]
90,30000,30000,30000,0,-180000,-180000,-180000,0,0.91563,0.91563,0.91563,1.21269e-31,0.004,0.004,0.004,5.45608e-36,30000,30000,30000,0,100,0,[ 10000 10000 10000 0 0 0 0 0 0 ],100,0,[ 10000 10000 10000 0 0 0 0 0 0 ]
