Time,mean_Growth_Rate,min_Growth_Rate,max_Growth_Rate,variance_Growth_Rate,mean_Synergy,min_Synergy,max_Synergy,variance_Synergy,mean_Heredity,min_Heredity,max_Heredity,variance_Heredity,mean_Invasion_Ability,min_Invasion_Ability,max_Invasion_Ability,variance_Invasion_Ability,mean_Biomass,min_Biomass,max_Biomass,variance_Biomass,fittest_count,fittest_heredity,fittestCommunity,dominant_count,dominant_heredity,dominantCommunity
0,6764.07,-2.06062e-06,6902.11,933727,-44368.5,-45274,-1.08167,4.01708e+07,0.925915,0.924409,0.999996,0.000111078,0.02392,0.004,1,0.0194435,19600.6,0.592102,20000,7.8175e+06,98,0,[ 0 10000 0 0 0 0 0 10000 0 ],98,0,[ 0 10000 0 0 0 0 0 10000 0 ]
10,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
20,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
30,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
40,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
50,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
60,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
70,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
80,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
90,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
100,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
110,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
120,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
130,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
140,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
150,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
160,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
170,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
180,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
190,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
200,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
210,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
220,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
230,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
240,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
250,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
260,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
270,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
280,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
290,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
300,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
310,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
320,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
330,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
340,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
350,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
360,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
370,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
380,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
390,6902.11,6902.11,6902.11,2.05194e-23,-45274,-45274,-45274,3.64488e-22,0.924409,0.924409,0.924409,2.00991e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 10000 0 ],100,0,[ 0 10000 0 0 0 0 0 10000 0 ]
