Diffusion,Seeding,Clear,Score
0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.30000000000000004,0.0
0.0,0.0,0.4,0.0
0.0,0.0,0.5,0.0
0.0,0.0,0.6000000000000001,0.0
0.0,0.0,0.7000000000000001,0.0
0.0,0.0,0.8,0.0
0.0,0.0,0.9,0.0
0.0,0.0,1.0,0.0
0.0,0.01,0.0,0.1302270000000001
0.0,0.01,0.1,0.0
0.0,0.01,0.2,0.0
0.0,0.01,0.30000000000000004,0.0
0.0,0.01,0.4,0.0
0.0,0.01,0.5,0.0
0.0,0.01,0.6000000000000001,0.0
0.0,0.01,0.7000000000000001,0.0
0.0,0.01,0.8,0.0
0.0,0.01,0.9,0.0
0.0,0.01,1.0,0.0
0.0,0.02,0.0,0.134255
0.0,0.02,0.1,0.0
0.0,0.02,0.2,0.0
0.0,0.02,0.30000000000000004,0.0
0.0,0.02,0.4,0.0
0.0,0.02,0.5,0.0
0.0,0.02,0.6000000000000001,0.0
0.0,0.02,0.7000000000000001,0.0
0.0,0.02,0.8,0.0
0.0,0.02,0.9,0.0
0.0,0.02,1.0,0.0
0.0,0.03,0.0,0.134255
0.0,0.03,0.1,0.0
0.0,0.03,0.2,0.0
0.0,0.03,0.30000000000000004,0.0
0.0,0.03,0.4,0.0
0.0,0.03,0.5,0.0
0.0,0.03,0.6000000000000001,0.0
0.0,0.03,0.7000000000000001,0.0
0.0,0.03,0.8,0.0
0.0,0.03,0.9,0.0
0.0,0.03,1.0,0.0
0.0,0.04,0.0,0.134255
0.0,0.04,0.1,0.0
0.0,0.04,0.2,0.0
0.0,0.04,0.30000000000000004,0.0
0.0,0.04,0.4,0.0
0.0,0.04,0.5,0.0
0.0,0.04,0.6000000000000001,0.0
0.0,0.04,0.7000000000000001,0.0
0.0,0.04,0.8,0.0
0.0,0.04,0.9,0.0
0.0,0.04,1.0,0.0
0.0,0.05,0.0,0.134255
0.0,0.05,0.1,-6.851359999999999e-09
0.0,0.05,0.2,0.0
0.0,0.05,0.30000000000000004,0.0
0.0,0.05,0.4,0.0
0.0,0.05,0.5,0.0
0.0,0.05,0.6000000000000001,0.0
0.0,0.05,0.7000000000000001,0.0
0.0,0.05,0.8,0.0
0.0,0.05,0.9,0.0
0.0,0.05,1.0,0.0
0.0,0.06,0.0,0.134255
0.0,0.06,0.1,-1.11859e-08
0.0,0.06,0.2,-1.2444299999999998e-08
0.0,0.06,0.30000000000000004,0.0
0.0,0.06,0.4,0.0
0.0,0.06,0.5,0.0
0.0,0.06,0.6000000000000001,0.0
0.0,0.06,0.7000000000000001,0.0
0.0,0.06,0.8,0.0
0.0,0.06,0.9,0.0
0.0,0.06,1.0,0.0
0.0,0.07,0.0,0.134255
0.0,0.07,0.1,-5.59294e-09
0.0,0.07,0.2,0.0
0.0,0.07,0.30000000000000004,0.0
0.0,0.07,0.4,0.0
0.0,0.07,0.5,0.0
0.0,0.07,0.6000000000000001,0.0
0.0,0.07,0.7000000000000001,-5.59294e-09
0.0,0.07,0.8,0.0
0.0,0.07,0.9,0.0
0.0,0.07,1.0,0.0
0.0,0.08,0.0,0.134255
0.0,0.08,0.1,-1.92957e-08
0.0,0.08,0.2,0.0
0.0,0.08,0.30000000000000004,-6.851359999999999e-09
0.0,0.08,0.4,0.0
0.0,0.08,0.5,0.0
0.0,0.08,0.6000000000000001,0.0
0.0,0.08,0.7000000000000001,0.0
0.0,0.08,0.8,0.0
0.0,0.08,0.9,0.0
0.0,0.08,1.0,0.0
0.0,0.09,0.0,0.134255
0.0,0.09,0.1,-5.59294e-09
0.0,0.09,0.2,0.0
0.0,0.09,0.30000000000000004,0.0
0.0,0.09,0.4,0.0
0.0,0.09,0.5,0.0
