Diffusion,Seeding,Clear,Score
0.0,0.0,0.0,0.0072448000000000096
0.0,0.0,0.1,0.0072448000000000096
0.0,0.0,0.2,0.0072448000000000096
0.0,0.0,0.30000000000000004,0.0072448000000000096
0.0,0.0,0.4,0.0072448000000000096
0.0,0.0,0.5,0.0072448000000000096
0.0,0.0,0.6000000000000001,0.0072448000000000096
0.0,0.0,0.7000000000000001,0.0072448000000000096
0.0,0.0,0.8,0.0072448000000000096
0.0,0.0,0.9,0.0072448000000000096
0.0,0.0,1.0,0.0072448000000000096
0.0,0.01,0.0,0.08185600000000001
0.0,0.01,0.1,0.006058099999999983
0.0,0.01,0.2,0.006435499999999997
0.0,0.01,0.30000000000000004,0.0064952000000000065
0.0,0.01,0.4,0.007006399999999996
0.0,0.01,0.5,0.0070659
0.0,0.01,0.6000000000000001,0.0072448000000000096
0.0,0.01,0.7000000000000001,0.007185200000000003
0.0,0.01,0.8,0.007185200000000003
0.0,0.01,0.9,0.0072448000000000096
0.0,0.01,1.0,0.0072448000000000096
0.0,0.02,0.0,0.08185600000000001
0.0,0.02,0.1,0.005630099999999999
0.0,0.02,0.2,0.006827500000000014
0.0,0.02,0.30000000000000004,0.0061972
0.0,0.02,0.4,0.0070659
0.0,0.02,0.5,0.007185200000000003
0.0,0.02,0.6000000000000001,0.0072448000000000096
0.0,0.02,0.7000000000000001,0.0072448000000000096
0.0,0.02,0.8,0.007125599999999982
0.0,0.02,0.9,0.007185200000000003
0.0,0.02,1.0,0.0070659
0.0,0.03,0.0,0.08185600000000001
0.0,0.03,0.1,0.004214099999999998
0.0,0.03,0.2,0.005861599999999995
0.0,0.03,0.30000000000000004,0.006469900000000001
0.0,0.03,0.4,0.006316399999999986
0.0,0.03,0.5,0.0057456000000000035
0.0,0.03,0.6000000000000001,0.007006399999999996
0.0,0.03,0.7000000000000001,0.005864800000000003
0.0,0.03,0.8,0.006376000000000007
0.0,0.03,0.9,0.006316399999999986
0.0,0.03,1.0,0.006376000000000007
0.0,0.04,0.0,0.08185600000000001
0.0,0.04,0.1,0.004480799999999993
0.0,0.04,0.2,0.005089800000000005
0.0,0.04,0.30000000000000004,0.005779800000000002
0.0,0.04,0.4,0.006077899999999997
0.0,0.04,0.5,0.0066486999999999935
0.0,0.04,0.6000000000000001,0.006887099999999979
0.0,0.04,0.7000000000000001,0.0069467
0.0,0.04,0.8,0.0070659
0.0,0.04,0.9,0.006435499999999997
0.0,0.04,1.0,0.006376000000000007
0.0,0.05,0.0,0.08185600000000001
0.0,0.05,0.1,0.0033323999999999854
0.0,0.05,0.2,0.006227999999999997
0.0,0.05,0.30000000000000004,0.00640679999999999
0.0,0.05,0.4,0.006316399999999986
0.0,0.05,0.5,0.0066486999999999935
0.0,0.05,0.6000000000000001,0.005268700000000015
0.0,0.05,0.7000000000000001,0.0066486999999999935
0.0,0.05,0.8,0.007006399999999996
0.0,0.05,0.9,0.0070659
0.0,0.05,1.0,0.006376000000000007
0.0,0.06,0.0,0.08185600000000001
0.0,0.06,0.1,0.005419000000000007
0.0,0.06,0.2,0.0034373999999999794
0.0,0.06,0.30000000000000004,0.006704799999999997
0.0,0.06,0.4,0.005720200000000009
0.0,0.06,0.5,0.006708300000000014
0.0,0.06,0.6000000000000001,0.004995899999999984
0.0,0.06,0.7000000000000001,0.005268700000000015
0.0,0.06,0.8,0.005387899999999987
0.0,0.06,0.9,0.0057456000000000035
0.0,0.06,1.0,0.0070659
0.0,0.07,0.0,0.08185600000000001
0.0,0.07,0.1,-2.6200000000003998e-05
0.0,0.07,0.2,0.005541699999999983
0.0,0.07,0.30000000000000004,0.004234500000000016
0.0,0.07,0.4,0.004067500000000002
0.0,0.07,0.5,0.006767899999999993
0.0,0.07,0.6000000000000001,0.005958699999999997
0.0,0.07,0.7000000000000001,0.006827500000000014
0.0,0.07,0.8,0.006376000000000007
0.0,0.07,0.9,0.0069467
0.0,0.07,1.0,0.006887099999999979
0.0,0.08,0.0,0.08185600000000001
0.0,0.08,0.1,0.002445900000000001
0.0,0.08,0.2,0.0027366999999999947
0.0,0.08,0.30000000000000004,0.004886799999999997
0.0,0.08,0.4,0.005149500000000001
0.0,0.08,0.5,0.006077899999999997
0.0,0.08,0.6000000000000001,0.005922399999999994
0.0,0.08,0.7000000000000001,0.006306199999999998
0.0,0.08,0.8,0.005685999999999997
0.0,0.08,0.9,0.006827500000000014
0.0,0.08,1.0,0.0069467
0.0,0.09,0.0,0.08185600000000001
0.0,0.09,0.1,0.004390999999999999
0.0,0.09,0.2,0.0045791999999999985
0.0,0.09,0.30000000000000004,0.006171800000000005
0.0,0.09,0.4,0.0049706000000000194
0.0,0.09,0.5,0.005745899999999998
0.0,0.09,0.6000000000000001,0.0049706000000000194
0.0,0.09,0.7000000000000001,0.0061972
0.0,0.09,0.8,0.005507100000000001
0.0,0.09,0.9,0.006767899999999993
0.0,0.09,1.0,0.0069467
0.0,0.1,0.0,0.08185600000000001
0.0,0.1,0.1,0.004969299999999996
0.0,0.1,0.2,0.004035800000000006
0.0,0.1,0.30000000000000004,0.0039023999999999864
0.0,0.1,0.4,0.005090200000000003
0.0,0.1,0.5,0.005055799999999999
0.0,0.1,0.6000000000000001,0.005566800000000011
0.0,0.1,0.7000000000000001,0.005447500000000008
0.0,0.1,0.8,0.006589100000000014
0.0,0.1,0.9,0.00601829999999999
0.0,0.1,1.0,0.0066486999999999935
0.1,0.0,0.0,0.0072448000000000096
0.1,0.0,0.1,0.0072448000000000096
0.1,0.0,0.2,0.0072448000000000096
0.1,0.0,0.30000000000000004,0.0072448000000000096
0.1,0.0,0.4,0.0072448000000000096
0.1,0.0,0.5,0.0072448000000000096
0.1,0.0,0.6000000000000001,0.0072448000000000096
0.1,0.0,0.7000000000000001,0.0072448000000000096
0.1,0.0,0.8,0.0072448000000000096
0.1,0.0,0.9,0.0072448000000000096
0.1,0.0,1.0,0.0072448000000000096
0.1,0.01,0.0,0.08185600000000001
0.1,0.01,0.1,0.08185600000000001
0.1,0.01,0.2,0.08185600000000001
0.1,0.01,0.30000000000000004,0.08185600000000001
0.1,0.01,0.4,0.011765600000000001
0.1,0.01,0.5,0.01277410000000001
0.1,0.01,0.6000000000000001,1.0641299999999998e-12
0.1,0.01,0.7000000000000001,0.006321099999999996
0.1,0.01,0.8,0.007125599999999982
0.1,0.01,0.9,0.008558200000000002
0.1,0.01,1.0,0.0064952000000000065
0.1,0.02,0.0,0.08185600000000001
0.1,0.02,0.1,0.08185600000000001
0.1,0.02,0.2,0.08030400000000004
0.1,0.02,0.30000000000000004,0.08185600000000001
0.1,0.02,0.4,0.08111000000000002
0.1,0.02,0.5,0.07887099999999997
0.1,0.02,0.6000000000000001,0.007948300000000005
0.1,0.02,0.7000000000000001,0.0016371199999999997
0.1,0.02,0.8,0.005043600000000009
0.1,0.02,0.9,0.0080813
0.1,0.02,1.0,0.005680600000000008
0.1,0.03,0.0,0.08185600000000001
0.1,0.03,0.1,0.08185600000000001
0.1,0.03,0.2,0.08185600000000001
0.1,0.03,0.30000000000000004,0.08036399999999999
0.1,0.03,0.4,0.08036399999999999
0.1,0.03,0.5,0.08111000000000002
0.1,0.03,0.6000000000000001,0.02406430000000001
0.1,0.03,0.7000000000000001,0.017368499999999995
0.1,0.03,0.8,0.011944499999999997
0.1,0.03,0.9,0.010438900000000015
0.1,0.03,1.0,0.006645200000000004
0.1,0.04,0.0,0.08185600000000001
0.1,0.04,0.1,0.08111000000000002
0.1,0.04,0.2,0.08111000000000002
0.1,0.04,0.30000000000000004,0.08111000000000002
0.1,0.04,0.4,0.08111000000000002
0.1,0.04,0.5,0.08105000000000001
0.1,0.04,0.6000000000000001,0.023403300000000002
0.1,0.04,0.7000000000000001,0.022272299999999995
0.1,0.04,0.8,0.009453800000000012
0.1,0.04,0.9,0.009825699999999993
0.1,0.04,1.0,0.004084000000000004
0.1,0.05,0.0,0.08185600000000001
0.1,0.05,0.1,0.08185600000000001
0.1,0.05,0.2,0.08185600000000001
0.1,0.05,0.30000000000000004,0.08185600000000001
0.1,0.05,0.4,0.08036399999999999
0.1,0.05,0.5,0.079617
0.1,0.05,0.6000000000000001,0.07732000000000003
0.1,0.05,0.7000000000000001,1.4734099999999995e-12
0.1,0.05,0.8,0.01826760000000001
0.1,0.05,0.9,0.01335299999999999
0.1,0.05,1.0,0.008864199999999989
0.1,0.06,0.0,0.08185600000000001
0.1,0.06,0.1,0.08185600000000001
0.1,0.06,0.2,0.08185600000000001
0.1,0.06,0.30000000000000004,0.08185600000000001
