Diffusion,Seeding,Clear,Score
0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.30000000000000004,0.0
0.0,0.0,0.4,0.0
0.0,0.0,0.5,0.0
0.0,0.0,0.6000000000000001,0.0
0.0,0.0,0.7000000000000001,0.0
0.0,0.0,0.8,0.0
0.0,0.0,0.9,0.0
0.0,0.0,1.0,0.0
0.0,0.01,0.0,0.286271
0.0,0.01,0.1,-0.00245537
0.0,0.01,0.2,-0.0012640000000000001
0.0,0.01,0.30000000000000004,-4.98364e-05
0.0,0.01,0.4,0.0
0.0,0.01,0.5,0.0
0.0,0.01,0.6000000000000001,-0.0011824000000000001
0.0,0.01,0.7000000000000001,0.0
0.0,0.01,0.8,-0.0011824000000000001
0.0,0.01,0.9,0.0
0.0,0.01,1.0,-2.26393e-05
0.0,0.02,0.0,0.35339299999999996
0.0,0.02,0.1,-0.00130472
0.0,0.02,0.2,-0.0025398000000000005
0.0,0.02,0.30000000000000004,-0.00122768
0.0,0.02,0.4,-0.0011824000000000001
0.0,0.02,0.5,0.0
0.0,0.02,0.6000000000000001,0.0
0.0,0.02,0.7000000000000001,-2.26393e-05
0.0,0.02,0.8,-2.71971e-05
0.0,0.02,0.9,0.0
0.0,0.02,1.0,-0.00236481
0.0,0.03,0.0,0.385951
0.0,0.03,0.1,-0.0038626
0.0,0.03,0.2,-8.15914e-05
0.0,0.03,0.30000000000000004,-0.0011824000000000001
0.0,0.03,0.4,-2.26393e-05
0.0,0.03,0.5,-2.71971e-05
0.0,0.03,0.6000000000000001,-7.24757e-05
0.0,0.03,0.7000000000000001,-2.26393e-05
0.0,0.03,0.8,0.0
0.0,0.03,0.9,0.0
0.0,0.03,1.0,-0.0012096
0.0,0.04,0.0,0.38631299999999996
0.0,0.04,0.1,-0.00516121
0.0,0.04,0.2,-0.00133191
0.0,0.04,0.30000000000000004,-0.00122768
0.0,0.04,0.4,-7.24757e-05
0.0,0.04,0.5,-2.71971e-05
0.0,0.04,0.6000000000000001,-0.00357441
0.0,0.04,0.7000000000000001,-7.70336e-05
0.0,0.04,0.8,-0.00236481
0.0,0.04,0.9,-2.26393e-05
0.0,0.04,1.0,-0.00120504
0.0,0.05,0.0,0.38631299999999996
0.0,0.05,0.1,-0.00808316
0.0,0.05,0.2,-0.00522956
0.0,0.05,0.30000000000000004,-0.00127752
0.0,0.05,0.4,-0.00244184
0.0,0.05,0.5,-2.26393e-05
0.0,0.05,0.6000000000000001,-0.00120504
0.0,0.05,0.7000000000000001,-0.00123224
0.0,0.05,0.8,-0.0012096
0.0,0.05,0.9,0.0
0.0,0.05,1.0,-2.26393e-05
0.0,0.06,0.0,0.38631299999999996
0.0,0.06,0.1,-0.00536995
0.0,0.06,0.2,-0.00495378
0.0,0.06,0.30000000000000004,-0.00135911
0.0,0.06,0.4,-0.00243728
0.0,0.06,0.5,-0.00359705
0.0,0.06,0.6000000000000001,-0.00125944
0.0,0.06,0.7000000000000001,-0.00127752
0.0,0.06,0.8,-0.0011824000000000001
0.0,0.06,0.9,-0.000104231
0.0,0.06,1.0,0.0
0.0,0.07,0.0,0.38631299999999996
0.0,0.07,0.1,-0.00637081
0.0,0.07,0.2,-0.000918388
0.0,0.07,0.30000000000000004,-0.00250976
0.0,0.07,0.4,-0.00249556
0.0,0.07,0.5,-0.0012368000000000001
0.0,0.07,0.6000000000000001,-0.0036288
0.0,0.07,0.7000000000000001,-0.00129119
0.0,0.07,0.8,-0.00128208
0.0,0.07,0.9,-0.00123224
0.0,0.07,1.0,-0.00241464
0.0,0.08,0.0,0.38631299999999996
0.0,0.08,0.1,-0.00907976
0.0,0.08,0.2,-0.00453743
0.0,0.08,0.30000000000000004,-0.00125488
