Time,mean_Growth_Rate,min_Growth_Rate,max_Growth_Rate,variance_Growth_Rate,mean_Synergy,min_Synergy,max_Synergy,variance_Synergy,mean_Heredity,min_Heredity,max_Heredity,variance_Heredity,mean_Invasion_Ability,min_Invasion_Ability,max_Invasion_Ability,variance_Invasion_Ability,mean_Biomass,min_Biomass,max_Biomass,variance_Biomass,fittest_count,fittest_heredity,fittestCommunity,dominant_count,dominant_heredity,dominantCommunity
0,-1.00175e-07,-2.28192e-06,3.37264e-08,1.74949e-13,-0.0803396,-1.50468,0.936633,0.136581,0.999992,0.99994,1,1.16632e-10,1,1,1,0,0.71678,0,5.44082,0.999139,3,0,[ 0 0.0104533 0 0 0 0 2.1222 0 0 ],49,1,[ 0 0 0 0 0 0 0 0 0 ]
10,1.95312e-07,-3.644e-07,1.63767e-05,2.67706e-12,-0.0320206,-0.731579,0.10375,0.0144114,0.999998,0.999986,1,9.94228e-12,1,1,1,0,0.180782,0,1.52067,0.11064,1,0,[ 0.763825 0 0 0.000194557 0.756097 0 0.000250204 0.000303705 0 ],11,1,[ 0 0 0 0 0 0 0 0 0 ]
20,8.97369e-08,-3.6983e-07,9.97949e-06,9.91348e-13,-0.00704158,-0.282941,0.936633,0.0123409,0.999999,0.999989,1,8.61115e-12,1,1,1,0,0.133242,0,1.29803,0.0820781,1,0,[ 0.0957839 0.00972416 0 0 0.58609 0 0.605418 0 0.0010126 ],25,1,[ 0 0 0 0 0 0 0 0 0 ]
30,-9.51583e-09,-5.29217e-07,2.91569e-07,4.20649e-15,-0.034953,-0.58574,0.0460792,0.00963174,0.999999,0.999989,1,9.57908e-12,1,1,1,0,0.137288,0,1.06114,0.080857,1,0,[ 0.00088342 0.000213181 0 0 1.0051 0 0.0111529 0 0 ],28,1,[ 0 0 0 0 0 0 0 0 0 ]
40,1.13663e-07,-5.99732e-07,5.24872e-06,5.94348e-13,-0.00386288,-0.55705,0.936633,0.0265238,0.999998,0.999985,1,1.40213e-11,1,1,1,0,0.253366,0,1.3675,0.134427,1,0,[ 0 0 0 0 0 0 0 0.0606419 1.12094 ],20,1,[ 0 0 0 0 0 0 0 0 0 ]
50,-3.23937e-09,-4.8627e-07,2.98082e-07,7.01346e-15,-0.00585018,-0.449575,0.876348,0.0115346,0.999999,0.999989,1,7.80521e-12,1,1,1,0,0.141884,0,1.25302,0.0759553,1,0,[ 0.270093 6.52542e-05 0.00010767 0.0312411 0.00843215 0.0044379 0 0.00290231 0 ],21,1,[ 0 0 0 0 0 0 0 0 0 ]
60,-1.73747e-08,-1.0682e-06,3.10571e-08,1.34991e-14,-0.0245345,-0.572469,0.227924,0.00654804,0.999999,0.999989,1,7.51425e-12,1,1,1,0,0.131705,0,1.03652,0.0636535,1,0,[ 0 0 0 1.32944e-05 0.0643162 0.318724 0 0 0 ],21,1,[ 0 0 0 0 0 0 0 0 0 ]
70,-2.2449e-08,-8.81036e-07,7.73256e-08,1.17165e-14,-0.0380985,-1.18653,0.116582,0.0206296,0.999998,0.999955,1,2.67864e-11,1,1,1,0,0.190105,0,4.22927,0.240892,1,0,[ 0.137031 0 0 0.0218737 0 0 0.010692 0 0 ],22,1,[ 0 0 0 0 0 0 0 0 0 ]
80,1.25244e-06,-4.20153e-07,0.00011268,1.26291e-10,-0.0291579,-1.18319,0.196419,0.0269461,0.999997,0.999951,1,4.37529e-11,1,1,1,0,0.301755,0,4.61481,0.479511,1,0,[ 2.39188 0 0 0 1.52234 0 0.28009 0 0.000359724 ],15,1,[ 0 0 0 0 0 0 0 0 0 ]
90,2.8514e-09,-5.94766e-07,1.06534e-06,1.61978e-14,-0.0222855,-1.16943,0.234158,0.0177393,0.999998,0.999952,1,2.95272e-11,1,1,1,0,0.199064,0,4.43063,0.258359,1,0,[ 0.126514 0 0 0 0 0.000537637 0 0 4.30358 ],24,1,[ 0 0 0 0 0 0 0 0 0 ]
