Time,mean_Growth_Rate,min_Growth_Rate,max_Growth_Rate,variance_Growth_Rate,mean_Synergy,min_Synergy,max_Synergy,variance_Synergy,mean_Heredity,min_Heredity,max_Heredity,variance_Heredity,mean_Invasion_Ability,min_Invasion_Ability,max_Invasion_Ability,variance_Invasion_Ability,mean_Biomass,min_Biomass,max_Biomass,variance_Biomass,fittest_count,fittest_heredity,fittestCommunity,dominant_count,dominant_heredity,dominantCommunity
0,476.961,-1.13151e-06,10730.3,4.35097e+06,-464.788,-9965.08,0.141153,4.13023e+06,0.993817,0.872473,1,0.000725903,0.9502,0.004,1,0.0471208,1000.39,0,20000,1.89992e+07,1,0,[ 10000 0 0 0 0 0 0 0 10000 ],42,1,[ 0 0 0 0 0 0 0 0 0 ]
10,214.319,-5.74584e-07,13420.6,2.3959e+06,-136.229,-8798.14,0.155289,974515,0.997667,0.897541,1,0.000190841,0.97012,0.004,1,0.0288677,364.624,0,20000,6.41784e+06,1,0,[ 0 0 0 0 0 0 0 10000 10000 ],8,1,[ 0 0 0 0 0 0 0 0 0 ]
20,134.206,-5.05432e-07,13420.6,1.78312e+06,-88.0052,-8798.14,7.43418,766329,0.998967,0.897541,1,0.000103915,0.99004,0.004,1,0.00982096,200.732,0,20000,3.95973e+06,1,0,[ 0 0 0 0 0 0 0 10000 10000 ],16,1,[ 0 0 0 0 0 0 0 0 0 ]
30,134.206,-5.82642e-07,13420.6,1.78312e+06,-88.0481,-8798.14,0.141153,766321,0.998974,0.897541,1,0.000103926,0.99004,0.004,1,0.00982096,200.134,0,20000,3.95995e+06,1,0,[ 0 0 0 0 0 0 0 10000 10000 ],25,1,[ 0 0 0 0 0 0 0 0 0 ]
40,462.922,-3.13026e-07,13420.6,5.28117e+06,-362.927,-9685.07,0.141153,3.16509e+06,0.99551,0.877245,1,0.000487181,0.96016,0.004,1,0.0380934,800.183,0,20000,1.53597e+07,2,0,[ 0 0 0 0 0 0 0 10000 10000 ],14,1,[ 0 0 0 0 0 0 0 0 0 ]
50,613.626,-3.6251e-07,13420.6,5.90239e+06,-573.941,-9965.08,0.0988363,4.93956e+06,0.99251,0.872473,1,0.000824177,0.93028,0.004,1,0.0645802,1250.65,0,20000,2.26902e+07,1,0,[ 0 0 0 0 0 0 0 10000 10000 ],18,1,[ 0 0 0 0 0 0 0 0 0 ]
60,536.825,-4.15865e-07,13420.6,6.91635e+06,-352.033,-8798.14,0.138509,2.97236e+06,0.9959,0.897541,1,0.000403105,0.96016,0.004,1,0.0380934,800.132,0,20000,1.53598e+07,4,0,[ 0 0 0 0 0 0 0 10000 10000 ],12,1,[ 0 0 0 0 0 0 0 0 0 ]
70,134.208,-5.88948e-07,13420.6,1.78312e+06,-88.482,-8798.14,0.143285,766250,0.998963,0.897541,1,0.000103907,0.99004,0.004,1,0.00982096,201.467,0,20000,3.95948e+06,1,0,[ 0 0 0 0 0 0 0 10000 10000 ],15,1,[ 0 0 0 0 0 0 0 0 0 ]
80,85.6265,-2.16748e-07,8562.41,725817,-97.0732,-9727.73,33.0885,936876,0.999256,0.926522,1,5.34427e-05,0.981469,0.004,1,0.0169237,203.262,0,20000,3.95964e+06,1,0,[ 0 0 0 0 0 10000 0 0 10000 ],20,1,[ 0 0 0 0 0 0 0 0 0 ]
90,597.499,-1.45425e-07,13420.6,6.96472e+06,-441.676,-9965.08,20.6044,3.73172e+06,0.993331,0.872473,1,0.00070128,0.94024,0.004,1,0.0559497,1002.99,0,20000,1.89946e+07,3,0,[ 0 0 0 0 0 0 0 10000 10000 ],11,1,[ 0 0 0 0 0 0 0 0 0 ]
100,636.83,-6.00006e-07,13420.6,7.79908e+06,-442.023,-9003.64,2.51262,3.71156e+06,0.994683,0.878882,1,0.000538339,0.9502,0.004,1,0.0471208,1000.72,0,20000,1.89986e+07,4,0,[ 0 0 0 0 0 0 0 10000 10000 ],15,1,[ 0 0 0 0 0 0 0 0 0 ]
