Time,mean_Growth_Rate,min_Growth_Rate,max_Growth_Rate,variance_Growth_Rate,mean_Synergy,min_Synergy,max_Synergy,variance_Synergy,mean_Heredity,min_Heredity,max_Heredity,variance_Heredity,mean_Invasion_Ability,min_Invasion_Ability,max_Invasion_Ability,variance_Invasion_Ability,mean_Biomass,min_Biomass,max_Biomass,variance_Biomass,fittest_count,fittest_heredity,fittestCommunity,dominant_count,dominant_heredity,dominantCommunity
0,333.297,-3.00957e-07,17011,5.44565e+06,-668.183,-54554.4,0.220016,3.07881e+07,0.998023,0.901006,1,0.000190269,0.98008,0.004,1,0.0194435,400.602,0,20000,7.83952e+06,1,0,[ 10000 0 0 0 10000 0 0 0 0 ],40,1,[ 0 0 0 0 0 0 0 0 0 ]
10,324.737,-1.67099e-07,17320.3,5.16194e+06,-748.505,-52291.4,0.027502,3.14637e+07,0.997898,0.899473,1,0.000193485,0.97012,0.004,1,0.0288677,415.487,0,20000,7.85092e+06,1,0,[ 0 0 0 0 10000 0 10000 0 0 ],22,1,[ 0 0 0 0 0 0 0 0 0 ]
20,638.188,-1.3178e-07,17011,9.79808e+06,-1506.03,-59127.7,0.348561,6.86972e+07,0.99488,0.888889,1,0.000498427,0.9502,0.004,1,0.0471208,923.675,0,22336.4,1.7136e+07,1,0,[ 10000 0 0 0 10000 0 0 0 0 ],20,1,[ 0 0 0 0 0 0 0 0 0 ]
30,672.781,-8.4934e-07,17320.3,1.08732e+07,-2137.43,-54554.4,0.305021,1.09643e+08,0.996064,0.901006,1,0.000371415,0.96016,0.004,1,0.0380934,800.186,0,20000,1.53597e+07,2,0,[ 0 0 0 0 10000 0 10000 0 0 ],13,1,[ 0 0 0 0 0 0 0 0 0 ]
40,647.562,-3.38944e-07,17320.3,1.01153e+07,-1479.12,-52291.4,0.344741,6.18434e+07,0.996032,0.899473,1,0.000377279,0.96016,0.004,1,0.0380934,800.365,0,20000,1.53594e+07,2,0,[ 0 0 0 0 10000 0 10000 0 0 ],13,1,[ 0 0 0 0 0 0 0 0 0 ]
50,170.11,-4.22212e-06,17011,2.86479e+06,-122.333,-12135.4,0.0968074,1.45776e+06,0.999016,0.901928,1,9.52122e-05,0.99004,0.004,1,0.00982096,200.32,0,20000,3.95988e+06,1,0,[ 10000 0 0 0 10000 0 0 0 0 ],29,1,[ 0 0 0 0 0 0 0 0 0 ]
60,664,-3.31375e-07,17320.3,1.06139e+07,-982.119,-52291.4,0.00343775,3.39964e+07,0.996055,0.899473,1,0.000373309,0.96016,0.004,1,0.0380934,800.129,0,20000,1.53598e+07,1,0,[ 0 0 0 0 10000 0 10000 0 0 ],25,1,[ 0 0 0 0 0 0 0 0 0 ]
70,843.389,-4.69349e-06,17320.3,1.35558e+07,-2308.27,-52291.4,0.164803,1.08719e+08,0.995085,0.899473,1,0.000458717,0.9502,0.004,1,0.0471208,1000.17,0,20000,1.89997e+07,4,0,[ 0 0 0 0 10000 0 10000 0 0 ],16,1,[ 0 0 0 0 0 0 0 0 0 ]
80,852.905,-2.68972e-07,17320.3,1.38291e+07,-2236.11,-54554.4,0.353782,1.08266e+08,0.995096,0.901006,1,0.000456496,0.9502,0.004,1,0.0471208,1000.2,0,20000,1.89996e+07,3,0,[ 0 0 0 0 10000 0 10000 0 0 ],19,1,[ 0 0 0 0 0 0 0 0 0 ]
90,486.968,-8.35461e-07,17320.3,7.69317e+06,-1284.92,-54554.4,0.000470004,6.01264e+07,0.997027,0.899473,1,0.000285669,0.97012,0.004,1,0.0288677,600.117,0,20000,1.16399e+07,1,0,[ 0 0 0 0 10000 0 10000 0 0 ],24,1,[ 0 0 0 0 0 0 0 0 0 ]
100,657.078,-6.03387e-07,17320.3,1.03923e+07,-1406.69,-54554.4,0.153748,6.12713e+07,0.996044,0.899473,1,0.000375044,0.96016,0.004,1,0.0380934,800.316,0,20000,1.53595e+07,1,0,[ 0 0 0 0 10000 0 10000 0 0 ],21,1,[ 0 0 0 0 0 0 0 0 0 ]
110,173.203,-2.97369e-07,17320.3,2.96992e+06,-523.291,-52291.4,0.0469782,2.707e+07,0.999022,0.902299,1,9.44971e-05,0.99004,0.004,1,0.00982096,200.131,0,20000,3.95995e+06,1,0,[ 0 0 0 0 10000 0 10000 0 0 ],20,1,[ 0 0 0 0 0 0 0 0 0 ]
120,821.061,-1.39767e-07,31456.1,1.77774e+07,-1767.59,-57690.3,0.0504239,8.87358e+07,0.995666,0.861692,1,0.000462143,0.96016,0.004,1,0.0380934,900.313,0,30000,2.01894e+07,1,0,[ 0 10000 0 0 0 10000 0 0 10000 ],16,1,[ 0 0 0 0 0 0 0 0 0 ]
130,650.153,-1.16122e-07,17320.3,1.01705e+07,-1830.54,-54554.4,0.0231355,8.8189e+07,0.996649,0.901006,1,0.000295654,0.96016,0.004,1,0.0380934,800.134,0,20000.2,1.53599e+07,1,0,[ 0 0 0 0 10000 0 10000 0 0 ],16,1,[ 0 0 0 0 0 0 0 0 0 ]
140,173.203,-3.32734e-07,17320.3,2.96992e+06,-523.172,-52291.4,5.37148e-05,2.70702e+07,0.999022,0.902299,1,9.44975e-05,0.99004,0.004,1,0.00982096,200.099,0,20000,3.95996e+06,1,0,[ 0 0 0 0 10000 0 10000 0 0 ],21,1,[ 0 0 0 0 0 0 0 0 0 ]
150,346.406,-3.09668e-07,17320.3,5.87985e+06,-1046.41,-52291.4,0.013751,5.35928e+07,0.998044,0.902299,1,0.000187082,0.98008,0.004,1,0.0194435,400.191,0,20000,7.83985e+06,2,0,[ 0 0 0 0 10000 0 10000 0 0 ],17,1,[ 0 0 0 0 0 0 0 0 0 ]
160,163.188,-1.16069e-06,16318.7,2.63638e+06,-546.302,-54554.4,0.0579851,2.94634e+07,0.999008,0.901006,1,9.70141e-05,0.99004,0.004,1,0.00982096,200.282,0,20000,3.95989e+06,1,0,[ 0 10000 0 0 0 0 0 0 10000 ],16,1,[ 0 0 0 0 0 0 0 0 0 ]
170,657.078,-8.32203e-08,17320.3,1.03923e+07,-1406.4,-54554.4,0.0550039,6.12721e+07,0.996045,0.899473,1,0.000375051,0.96016,0.004,1,0.0380934,800.171,0,20000,1.53597e+07,1,0,[ 0 0 0 0 10000 0 10000 0 0 ],23,1,[ 0 0 0 0 0 0 0 0 0 ]
180,795.047,-4.95957e-07,17320.3,1.20637e+07,-1321.04,-52291.4,0.220016,4.11658e+07,0.994943,0.899473,1,0.000469913,0.94024,0.004,1,0.0559497,1007.52,0,20000,1.89904e+07,1,0,[ 0 0 0 0 10000 0 10000 0 0 ],23,1,[ 0 0 0 0 0 0 0 0 0 ]
190,150.578,-4.05562e-07,15057.8,2.2447e+06,-216.584,-21614.1,0.219962,4.62478e+06,0.998992,0.899473,1,0.000100042,0.99004,0.004,1,0.00982096,200.342,0,20000,3.95987e+06,1,0,[ 0 0 0 0 0 10000 0 0 10000 ],25,1,[ 0 0 0 0 0 0 0 0 0 ]
200,170.114,-5.01418e-06,17011,2.86479e+06,-122.285,-12135.4,0.341352,1.45777e+06,0.99901,0.901928,1,9.52067e-05,0.99004,0.004,1,0.00982096,201.187,0,20000,3.95964e+06,1,0,[ 10000 0 0 0 10000 0 0 0 0 ],21,1,[ 0 0 0 0 0 0 0 0 0 ]
