Time,mean_Growth_Rate,min_Growth_Rate,max_Growth_Rate,variance_Growth_Rate,mean_Synergy,min_Synergy,max_Synergy,variance_Synergy,mean_Heredity,min_Heredity,max_Heredity,variance_Heredity,mean_Invasion_Ability,min_Invasion_Ability,max_Invasion_Ability,variance_Invasion_Ability,mean_Biomass,min_Biomass,max_Biomass,variance_Biomass,fittest_count,fittest_heredity,fittestCommunity,dominant_count,dominant_heredity,dominantCommunity
0,14098.9,-4.91166e-15,15665.4,2.20864e+07,-30194.7,-33421.2,-3.10474,9.42233e+07,0.997199,0.888889,0.999988,0.000239436,0.19258,0.004,1,0.0569758,18200.2,1.09731,20000,3.07539e+07,90,0,[ 0 10000 0 0 0 0 0 0 10000 ],90,0,[ 0 10000 0 0 0 0 0 0 10000 ]
10,15665.4,15665.4,15665.4,1.65825e-22,-33421.2,-33421.2,-33421.2,0,0.999359,0.999359,0.999359,4.1314e-31,0.125,0.125,0.125,0,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 0 10000 ],100,0,[ 0 10000 0 0 0 0 0 0 10000 ]
20,15665.4,15665.4,15665.4,1.65825e-22,-33421.2,-33421.2,-33421.2,0,0.999359,0.999359,0.999359,4.1314e-31,0.125,0.125,0.125,0,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 0 10000 ],100,0,[ 0 10000 0 0 0 0 0 0 10000 ]
30,15665.4,15665.4,15665.4,1.65825e-22,-33421.2,-33421.2,-33421.2,0,0.999359,0.999359,0.999359,4.1314e-31,0.125,0.125,0.125,0,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 0 10000 ],100,0,[ 0 10000 0 0 0 0 0 0 10000 ]
40,15665.4,15665.4,15665.4,1.65825e-22,-33421.2,-33421.2,-33421.2,0,0.999359,0.999359,0.999359,4.1314e-31,0.125,0.125,0.125,0,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 0 10000 ],100,0,[ 0 10000 0 0 0 0 0 0 10000 ]
50,15665.4,15665.4,15665.4,1.65825e-22,-33421.2,-33421.2,-33421.2,0,0.999359,0.999359,0.999359,4.1314e-31,0.125,0.125,0.125,0,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 0 10000 ],100,0,[ 0 10000 0 0 0 0 0 0 10000 ]
60,15665.4,15665.4,15665.4,1.65825e-22,-33421.2,-33421.2,-33421.2,0,0.999359,0.999359,0.999359,4.1314e-31,0.125,0.125,0.125,0,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 0 10000 ],100,0,[ 0 10000 0 0 0 0 0 0 10000 ]
70,15665.4,15665.4,15665.4,1.65825e-22,-33421.2,-33421.2,-33421.2,0,0.999359,0.999359,0.999359,4.1314e-31,0.125,0.125,0.125,0,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 0 10000 ],100,0,[ 0 10000 0 0 0 0 0 0 10000 ]
80,15665.4,15665.4,15665.4,1.65825e-22,-33421.2,-33421.2,-33421.2,0,0.999359,0.999359,0.999359,4.1314e-31,0.125,0.125,0.125,0,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 0 10000 ],100,0,[ 0 10000 0 0 0 0 0 0 10000 ]
90,15665.4,15665.4,15665.4,1.65825e-22,-33421.2,-33421.2,-33421.2,0,0.999359,0.999359,0.999359,4.1314e-31,0.125,0.125,0.125,0,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 0 10000 ],100,0,[ 0 10000 0 0 0 0 0 0 10000 ]
100,15665.4,15665.4,15665.4,1.65825e-22,-33421.2,-33421.2,-33421.2,0,0.999359,0.999359,0.999359,4.1314e-31,0.125,0.125,0.125,0,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 0 0 10000 ],100,0,[ 0 10000 0 0 0 0 0 0 10000 ]
