Time,mean_Growth_Rate,min_Growth_Rate,max_Growth_Rate,variance_Growth_Rate,mean_Synergy,min_Synergy,max_Synergy,variance_Synergy,mean_Heredity,min_Heredity,max_Heredity,variance_Heredity,mean_Invasion_Ability,min_Invasion_Ability,max_Invasion_Ability,variance_Invasion_Ability,mean_Biomass,min_Biomass,max_Biomass,variance_Biomass,fittest_count,fittest_heredity,fittestCommunity,dominant_count,dominant_heredity,dominantCommunity
0,320.688,-3.06392e-07,17011,5.05826e+06,-338.771,-21614.1,0.220016,6.02961e+06,0.998007,0.899473,1,0.000193268,0.98008,0.004,1,0.0194435,400.59,0,20000,7.83953e+06,1,0,[ 10000 0 0 0 10000 0 0 0 0 ],35,1,[ 0 0 0 0 0 0 0 0 0 ]
10,500.329,-4.25917e-06,31456.1,1.20357e+07,-881.448,-57690.3,0.220016,3.79499e+07,0.997104,0.861692,1,0.000309554,0.97012,0.004,1,0.0288677,600.504,0,30000,1.36452e+07,1,0,[ 0 10000 0 0 0 10000 0 0 10000 ],24,1,[ 0 0 0 0 0 0 0 0 0 ]
20,464.344,-1.52159e-07,16318.7,6.98215e+06,-978.847,-54554.4,0.220016,3.81471e+07,0.996996,0.899473,1,0.000291091,0.97012,0.004,1,0.0288677,600.38,0,20000,1.16395e+07,1,0,[ 0 10000 0 0 0 0 0 0 10000 ],23,1,[ 0 0 0 0 0 0 0 0 0 ]
30,173.203,-6.89345e-07,17320.3,2.96992e+06,-524.366,-52291.4,0.220016,2.7069e+07,0.999018,0.902299,1,9.44914e-05,0.99004,0.004,1,0.00982096,200.509,0,20000,3.95981e+06,1,0,[ 0 0 0 0 10000 0 10000 0 0 ],10,1,[ 0 0 0 0 0 0 0 0 0 ]
40,490.798,-3.32644e-07,17011,7.81394e+06,-459.57,-21614.1,0.220016,7.40585e+06,0.997028,0.899473,1,0.000284586,0.97012,0.004,1,0.0288677,600.62,0,20000,1.16393e+07,2,0,[ 10000 0 0 0 10000 0 0 0 0 ],23,1,[ 0 0 0 0 0 0 0 0 0 ]
50,850.02,-5.14483e-07,17320.3,1.32858e+07,-2843.22,-54554.4,0.125733,1.38104e+08,0.994767,0.901006,1,0.000464769,0.93028,0.004,1,0.0645802,1061.51,0,20000,1.91977e+07,2,0,[ 0 0 0 0 10000 0 10000 0 0 ],15,1,[ 0 0 0 0 0 0 0 0 0 ]
60,346.406,-1.33234e-06,17320.3,5.87985e+06,-1077.75,-52291.4,0.348773,5.36245e+07,0.996933,0.888889,1,0.000304958,0.97012,0.004,1,0.0288677,500.197,0,20000,8.7498e+06,2,0,[ 0 0 0 0 10000 0 10000 0 0 ],19,1,[ 0 0 0 0 0 0 0 0 0 ]
70,513.422,-3.06675e-07,17320.3,8.52377e+06,-766.22,-52291.4,0.315957,2.97021e+07,0.997059,0.901928,1,0.000279167,0.97012,0.004,1,0.0288677,600.238,0,20000,1.16397e+07,1,0,[ 0 0 0 0 10000 0 10000 0 0 ],15,1,[ 0 0 0 0 0 0 0 0 0 ]
80,660.171,-1.55345e-07,17320.3,1.04944e+07,-1807.9,-54554.4,0.220016,8.58528e+07,0.996049,0.899473,1,0.000374355,0.96016,0.004,1,0.0380934,800.164,0,20000,1.53597e+07,2,0,[ 0 0 0 0 10000 0 10000 0 0 ],16,1,[ 0 0 0 0 0 0 0 0 0 ]
90,958.234,-7.46837e-08,17320.3,1.44406e+07,-1838.54,-54554.4,0.0449681,6.92133e+07,0.994035,0.899473,1,0.000557226,0.94024,0.004,1,0.0559497,1200.13,0,20000,2.25597e+07,1,0,[ 0 0 0 0 10000 0 10000 0 0 ],24,1,[ 0 0 0 0 0 0 0 0 0 ]
