Diffusion,Seeding,Clear,Score
0.0,0.0,0.0,-0.0190683
0.0,0.0,0.1,-0.0190683
0.0,0.0,0.2,-0.0190683
0.0,0.0,0.30000000000000004,-0.0190683
0.0,0.0,0.4,-0.0190683
0.0,0.0,0.5,-0.0190683
0.0,0.0,0.6000000000000001,-0.0190683
0.0,0.0,0.7000000000000001,-0.0190683
0.0,0.0,0.8,-0.0190683
0.0,0.0,0.9,-0.0190683
0.0,0.0,1.0,-0.0190683
0.0,0.01,0.0,0.1309305
0.0,0.01,0.1,-0.019700099999999998
0.0,0.01,0.2,-0.019349599999999998
0.0,0.01,0.30000000000000004,-0.0199394
0.0,0.01,0.4,-0.019337599999999996
0.0,0.01,0.5,-0.0191553
0.0,0.01,0.6000000000000001,-0.0190933
0.0,0.01,0.7000000000000001,-0.0190614
0.0,0.01,0.8,-0.0193543
0.0,0.01,0.9,-0.0190683
0.0,0.01,1.0,-0.0194735
0.0,0.02,0.0,0.15581110000000004
0.0,0.02,0.1,-0.020822
0.0,0.02,0.2,-0.0190429
0.0,0.02,0.30000000000000004,-0.018990599999999996
0.0,0.02,0.4,-0.0192267
0.0,0.02,0.5,-0.019588099999999997
0.0,0.02,0.6000000000000001,-0.0190759
0.0,0.02,0.7000000000000001,-0.0194869
0.0,0.02,0.8,-0.019498400000000003
0.0,0.02,0.9,-0.019273099999999998
0.0,0.02,1.0,-0.0190683
0.0,0.03,0.0,0.15581110000000004
0.0,0.03,0.1,-0.0220438
0.0,0.03,0.2,-0.0199654
0.0,0.03,0.30000000000000004,-0.0200487
0.0,0.03,0.4,-0.0196394
0.0,0.03,0.5,-0.019587
0.0,0.03,0.6000000000000001,-0.019118299999999998
0.0,0.03,0.7000000000000001,-0.0193543
0.0,0.03,0.8,-0.0193739
0.0,0.03,0.9,-0.019053
0.0,0.03,1.0,-0.0190933
0.0,0.04,0.0,0.1646206
0.0,0.04,0.1,-0.0224775
0.0,0.04,0.2,-0.0215524
0.0,0.04,0.30000000000000004,-0.019510299999999998
0.0,0.04,0.4,-0.0203768
0.0,0.04,0.5,-0.019106799999999997
0.0,0.04,0.6000000000000001,-0.019119
0.0,0.04,0.7000000000000001,-0.020015599999999998
0.0,0.04,0.8,-0.019132800000000002
0.0,0.04,0.9,-0.019377000000000002
0.0,0.04,1.0,-0.0195982
0.0,0.05,0.0,0.1646206
0.0,0.05,0.1,-0.0208645
0.0,0.05,0.2,-0.0192109
0.0,0.05,0.30000000000000004,-0.0195952
0.0,0.05,0.4,-0.0195858
0.0,0.05,0.5,-0.0203803
0.0,0.05,0.6000000000000001,-0.019746
0.0,0.05,0.7000000000000001,-0.019822
0.0,0.05,0.8,-0.019082599999999998
0.0,0.05,0.9,-0.018856099999999997
0.0,0.05,1.0,-0.0194196
0.0,0.06,0.0,0.17783599999999997
0.0,0.06,0.1,-0.018281409999999998
0.0,0.06,0.2,-0.017452009999999997
0.0,0.06,0.30000000000000004,-0.0211269
0.0,0.06,0.4,-0.0189168
0.0,0.06,0.5,-0.019374900000000004
0.0,0.06,0.6000000000000001,-0.0197676
0.0,0.06,0.7000000000000001,-0.0197297
0.0,0.06,0.8,-0.0196674
0.0,0.06,0.9,-0.0189319
0.0,0.06,1.0,-0.0202442
0.0,0.07,0.0,0.1029495
0.0,0.07,0.1,-0.020927310000000005
0.0,0.07,0.2,-0.0205886
0.0,0.07,0.30000000000000004,-0.0206137
0.0,0.07,0.4,-0.019218700000000002
0.0,0.07,0.5,-0.0202297
0.0,0.07,0.6000000000000001,-0.0197518
0.0,0.07,0.7000000000000001,-0.0190853
0.0,0.07,0.8,-0.0197517
0.0,0.07,0.9,-0.0200229
0.0,0.07,1.0,-0.019413099999999996
0.0,0.08,0.0,0.18664659999999997
0.0,0.08,0.1,-0.0221758
0.0,0.08,0.2,-0.0207239
0.0,0.08,0.30000000000000004,-0.0199894
0.0,0.08,0.4,-0.0194795
0.0,0.08,0.5,-0.0199347
0.0,0.08,0.6000000000000001,-0.0204696
0.0,0.08,0.7000000000000001,-0.020693400000000004
0.0,0.08,0.8,-0.019079099999999998
0.0,0.08,0.9,-0.019249000000000002
0.0,0.08,1.0,-0.0203364
0.0,0.09,0.0,0.12056969999999999
0.0,0.09,0.1,-0.0218081
0.0,0.09,0.2,-0.0211581
0.0,0.09,0.30000000000000004,-0.0211205
0.0,0.09,0.4,-0.0196874
